source,target,weight
1009368,1009480,13
1009368,1009705,0
1009368,1010738,2
1009368,1009477,21
1009368,1009379,28
1009368,1009312,34
1009368,1009722,3
1009368,1009327,11
1009368,1009577,7
1009368,1009297,53
1009368,1009382,12
1009368,1010373,1
1009368,1009325,21
1009368,1009638,14
1009368,1010354,11
1009220,1009610,413
1009220,1009726,75
1009220,1009368,794
1009220,1009718,341
1009220,1009165,708
1009220,1009664,568
1009220,1009351,263
1009220,1009299,65
1009220,1009262,80
1009220,1009356,130
1009220,1009662,127
1009220,1009257,76
1009220,1009268,32
1009220,1009282,77
1009220,1009629,45
1009220,1009366,85
1009220,1009515,21
1009220,1009175,78
1009220,1009187,149
1009220,1009243,63
1009220,1010791,99
1009220,1009459,109
1009220,1009546,66
1009220,1009592,22
1009220,1009472,32
1009220,1009338,304
1009220,1009362,12
1009220,1009697,278
1009220,1009159,12
1009220,1009189,182
1009220,1009313,17
1009220,1010338,100
1009220,1009562,303
1009220,1009471,184
1009220,1009214,15
1009220,1009583,114
1009220,1009724,5
1009220,1009417,55
1009220,1009512,7
1009220,1009281,60
1009220,1009707,241
1009220,1010852,0
1009220,1009367,30
1009220,1009407,51
1009220,1009708,21
1009220,1011336,0
1009220,1009504,32
1009220,1009310,9
1009220,1010360,13
1009220,1009318,12
1009220,1009215,82
1009220,1009524,131
1009220,1010370,9
1009220,1010892,0
1009220,1009337,26
1009220,1009182,7
1009220,1011299,6
1009220,1011010,0
1009220,1009466,62
1009220,1009508,5
1009220,1011490,77
1009220,1009343,73
1009220,1009219,4
1009220,1009719,111
1009220,1009554,7
1009220,1009452,44
1009220,1011109,1
1009220,1009277,7
1009220,1009372,17
1009220,1009499,5
1009220,1009609,14
1009220,1010771,5
1009220,1009652,23
1009220,1009389,18
1009220,1009224,45
1009220,1010894,0
1009220,1009288,4
1009220,1009365,11
1009220,1009381,12
1009220,1009267,2
1009220,1011023,4
1009220,1016181,17
1009220,1009608,125
1009220,1009480,19
1009220,1009705,0
1009220,1010738,2
1009220,1009477,21
1009220,1009379,30
1009220,1009312,23
1009220,1009722,3
1009220,1009327,13
1009220,1009577,14
1009220,1009297,165
1009220,1009382,10
1009220,1010373,0
1009220,1009325,27
1009220,1009638,8
1009220,1010354,12
1009718,1009610,416
1009718,1009726,1031
1009718,1009368,741
1009718,1009220,341
1009718,1009165,204
1009718,1009664,163
1009718,1009351,196
1009718,1009299,57
1009718,1009262,40
1009718,1009356,78
1009718,1009662,92
1009718,1009257,523
1009718,1009268,108
1009718,1009282,69
1009718,1009629,513
1009718,1009366,48
1009718,1009515,59
1009718,1009175,325
1009718,1009187,31
1009718,1009243,501
1009718,1010791,44
1009718,1009459,72
1009718,1009546,357
1009718,1009592,15
1009718,1009472,395
1009718,1009338,107
1009718,1009362,219
1009718,1009697,34
1009718,1009159,200
1009718,1009189,41
1009718,1009313,240
1009718,1010338,51
1009718,1009562,64
1009718,1009471,57
1009718,1009214,71
1009718,1009583,38
1009718,1009724,78
1009718,1009417,159
1009718,1009512,247
1009718,1009281,37
1009718,1009707,50
1009718,1010852,0
1009718,1009367,34
1009718,1009407,11
1009718,1009708,14
1009718,1011336,13
1009718,1009504,166
1009718,1009310,185
1009718,1010360,2
1009718,1009318,25
1009718,1009215,68
1009718,1009524,52
1009718,1010370,28
1009718,1010892,0
1009718,1009337,148
1009718,1009182,102
1009718,1011299,3
1009718,1011010,0
1009718,1009466,34
1009718,1009508,144
1009718,1011490,14
1009718,1009343,11
1009718,1009219,107
1009718,1009719,33
1009718,1009554,108
1009718,1009452,27
1009718,1011109,16
1009718,1009277,30
1009718,1009372,21
1009718,1009499,84
1009718,1009609,9
1009718,1010771,5
1009718,1009652,15
1009718,1009389,18
1009718,1009224,18
1009718,1010894,0
1009718,1009288,25
1009718,1009365,2
1009718,1009381,152
1009718,1009267,83
1009718,1011023,0
1009718,1016181,1
1009718,1009608,110
1009718,1009480,8
1009718,1009705,45
1009718,1010738,10
1009718,1009477,11
1009718,1009379,4
1009718,1009312,16
1009718,1009722,46
1009718,1009327,62
1009718,1009577,9
1009718,1009297,14
1009718,1009382,53
1009718,1010373,0
1009718,1009325,22
1009718,1009638,43
1009718,1010354,21
1009165,1009610,306
1009165,1009726,126
1009165,1009368,614
1009165,1009220,708
1009165,1009718,204
1009165,1009664,493
1009165,1009351,225
1009165,1009299,136
1009165,1009262,47
1009165,1009356,64
1009165,1009662,56
1009165,1009257,27
1009165,1009268,13
1009165,1009282,56
1009165,1009629,9
1009165,1009366,40
1009165,1009515,10
1009165,1009175,76
1009165,1009187,161
1009165,1009243,26
1009165,1010791,51
1009165,1009459,38
1009165,1009546,25
1009165,1009592,35
1009165,1009472,3
1009165,1009338,266
1009165,1009362,6
1009165,1009697,355
1009165,1009159,4
1009165,1009189,139
1009165,1009313,5
1009165,1010338,131
1009165,1009562,331
1009165,1009471,69
1009165,1009214,15
1009165,1009583,107
1009165,1009724,6
1009165,1009417,29
1009165,1009512,3
1009165,1009281,50
1009165,1009707,272
1009165,1010852,0
1009165,1009367,16
1009165,1009407,51
1009165,1009708,29
1009165,1011336,1
1009165,1009504,6
1009165,1009310,8
1009165,1010360,20
1009165,1009318,10
1009165,1009215,80
1009165,1009524,166
1009165,1010370,17
1009165,1010892,0
1009165,1009337,4
1009165,1009182,1
1009165,1011299,14
1009165,1011010,0
1009165,1009466,48
1009165,1009508,3
1009165,1011490,97
1009165,1009343,97
1009165,1009219,4
1009165,1009719,134
1009165,1009554,14
1009165,1009452,14
1009165,1011109,0
1009165,1009277,7
1009165,1009372,31
1009165,1009499,1
1009165,1009609,1
1009165,1010771,1
1009165,1009652,60
1009165,1009389,7
1009165,1009224,14
1009165,1010894,0
1009165,1009288,9
1009165,1009365,21
1009165,1009381,2
1009165,1009267,2
1009165,1011023,10
1009165,1016181,20
1009165,1009608,99
1009165,1009480,17
1009165,1009705,0
1009165,1010738,2
1009165,1009477,10
1009165,1009379,33
1009165,1009312,26
1009165,1009722,5
1009165,1009327,2
1009165,1009577,3
1009165,1009297,42
1009165,1009382,9
1009165,1010373,0
1009165,1009325,23
1009165,1009638,4
1009165,1010354,15
1009664,1009610,218
1009664,1009726,56
1009664,1009368,587
1009664,1009220,568
1009664,1009718,163
1009664,1009165,493
1009664,1009351,236
1009664,1009299,80
1009664,1009262,65
1009664,1009356,98
1009664,1009662,109
1009664,1009257,48
1009664,1009268,7
1009664,1009282,63
1009664,1009629,40
1009664,1009366,73
1009664,1009515,10
1009664,1009175,66
1009664,1009187,97
1009664,1009243,44
1009664,1010791,46
1009664,1009459,96
1009664,1009546,49
1009664,1009592,60
1009664,1009472,29
1009664,1009338,180
1009664,1009362,20
1009664,1009697,236
1009664,1009159,14
1009664,1009189,84
1009664,1009313,19
1009664,1010338,65
1009664,1009562,240
1009664,1009471,49
1009664,1009214,8
1009664,1009583,97
1009664,1009724,5
1009664,1009417,34
1009664,1009512,11
1009664,1009281,61
1009664,1009707,195
1009664,1010852,0
1009664,1009367,12
1009664,1009407,277
1009664,1009708,5
1009664,1011336,11
1009664,1009504,23
1009664,1009310,8
1009664,1010360,1
1009664,1009318,8
1009664,1009215,28
1009664,1009524,106
1009664,1010370,7
1009664,1010892,0
1009664,1009337,25
1009664,1009182,7
1009664,1011299,4
1009664,1011010,0
1009664,1009466,28
1009664,1009508,5
1009664,1011490,70
1009664,1009343,80
1009664,1009219,10
1009664,1009719,96
1009664,1009554,4
1009664,1009452,16
1009664,1011109,0
1009664,1009277,4
1009664,1009372,11
1009664,1009499,5
1009664,1009609,6
1009664,1010771,1
1009664,1009652,37
1009664,1009389,10
1009664,1009224,44
1009664,1010894,0
1009664,1009288,2
1009664,1009365,7
1009664,1009381,1
1009664,1009267,5
1009664,1011023,4
1009664,1016181,2
1009664,1009608,65
1009664,1009480,202
1009664,1009705,0
1009664,1010738,6
1009664,1009477,14
1009664,1009379,34
1009664,1009312,45
1009664,1009722,1
1009664,1009327,9
1009664,1009577,4
1009664,1009297,34
1009664,1009382,15
1009664,1010373,2
1009664,1009325,17
1009664,1009638,12
1009664,1010354,15
1009351,1009610,221
1009351,1009726,53
1009351,1009368,303
1009351,1009220,263
1009351,1009718,196
1009351,1009165,225
1009351,1009664,236
1009351,1009299,75
1009351,1009262,44
1009351,1009356,83
1009351,1009662,103
1009351,1009257,48
1009351,1009268,19
1009351,1009282,85
1009351,1009629,38
1009351,1009366,60
1009351,1009515,18
1009351,1009175,42
1009351,1009187,32
1009351,1009243,40
1009351,1010791,36
1009351,1009459,85
1009351,1009546,26
1009351,1009592,49
1009351,1009472,29
1009351,1009338,93
1009351,1009362,22
1009351,1009697,58
1009351,1009159,16
1009351,1009189,57
1009351,1009313,7
1009351,1010338,43
1009351,1009562,52
1009351,1009471,49
1009351,1009214,4
1009351,1009583,67
1009351,1009724,0
1009351,1009417,30
1009351,1009512,9
1009351,1009281,54
1009351,1009707,72
1009351,1010852,2
1009351,1009367,6
1009351,1009407,40
1009351,1009708,5
1009351,1011336,1
1009351,1009504,24
1009351,1009310,2
1009351,1010360,4
1009351,1009318,19
1009351,1009215,10
1009351,1009524,38
1009351,1010370,6
1009351,1010892,2
1009351,1009337,10
1009351,1009182,3
1009351,1011299,2
1009351,1011010,0
1009351,1009466,24
1009351,1009508,4
1009351,1011490,32
1009351,1009343,27
1009351,1009219,5
